[2026-06-14 11:04:01,641] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,658] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,674] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,690] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,705] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,722] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,738] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,754] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,767] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,776] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,786] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,800] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,815] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,825] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,835] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,842] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,846] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,846] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,864] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,869] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,873] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,877] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,882] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,895] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,895] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,898] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,895] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,916] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,919] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,919] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,920] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,934] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,942] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,944] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,949] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,960] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,970] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,970] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,983] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:01,987] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:01,992] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,000] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,005] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:02,012] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,015] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,013] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,024] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,030] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:02,031] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,036] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,039] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,042] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,043] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,051] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,059] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,067] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,072] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,072] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,078] INFO apps.products Stock updated for product: 2
[2026-06-14 11:04:02,083] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,083] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,083] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,087] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,095] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,096] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,101] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,103] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,120] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,129] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,131] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,136] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,147] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,155] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,158] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,162] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,178] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,184] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,191] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,194] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,206] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,214] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,217] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,224] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,236] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,244] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,247] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,251] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,263] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,269] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,282] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,282] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,292] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:04:02,295] INFO apps.products Returning paginated product list with caching
[2026-06-14 11:15:09,786] INFO apps.products ProductViewSet initialized
[2026-06-14 11:15:32,168] INFO apps.products ProductViewSet initialized
[2026-06-14 11:15:32,169] INFO apps.products ProductViewSet initialized
[2026-06-14 11:15:32,169] INFO apps.products ProductViewSet initialized
[2026-06-14 11:15:32,807] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:32,831] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:32,847] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:32,862] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:32,880] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:32,894] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:32,910] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:32,947] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:32,980] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,043] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,067] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,132] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,142] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,154] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,174] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,185] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,201] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,210] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,218] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,234] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,251] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,262] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,272] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,281] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,293] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,303] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,320] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,332] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,340] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,350] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,359] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,374] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,383] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,396] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,404] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,412] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,423] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,432] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,441] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,452] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,473] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,484] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,507] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,523] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,560] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,583] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,592] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,603] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,616] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,630] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,645] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,652] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,660] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,668] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,675] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,684] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,691] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,699] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,706] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,715] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,722] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,731] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,737] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,746] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,753] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,761] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,774] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,782] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,791] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,803] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,815] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,822] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,831] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,839] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,853] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,866] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,874] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,884] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,891] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,901] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,908] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,918] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,932] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,942] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,951] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,959] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,968] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,975] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,989] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:33,996] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,004] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,014] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,067] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,075] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,085] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,097] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,108] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,121] INFO apps.products Stock updated for product: 2
[2026-06-14 11:15:34,138] INFO apps.products Stock updated for product: 2
